heure;habitat_collectif;restauration;commerces;bureaux
2120;133.65216;0;0.536995285714286;5.47735191428571
2121;0;5.52789264705882;1.07399057142857;9.12891985714286
2122;0;5.52789264705882;1.07399057142857;7.30313588571428
2123;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2124;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2125;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2126;0;27.6394632352941;1.61098585714286;7.30313588571428
2127;0;5.52789264705882;1.07399057142857;5.47735191428571
2128;0;5.52789264705882;1.07399057142857;3.65156794285714
2129;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2130;467.78256;5.52789264705882;2.68497642857143;0
2131;267.30432;16.5836779411765;2.14798114285714;0
2132;133.65216;16.5836779411765;1.07399057142857;0
2133;0;44.2231411764706;0;0
2134;0;38.6952485294118;0;0
2135;0;22.1115705882353;0;0
2136;0;0;0;0
2137;0;0;0;0
2138;0;0;0;0
2139;0;0;0;0
2140;0;0;0;0
2141;0;0;0;0
2142;133.65216;0;0;1.82578397142857
2143;467.78256;0;0;1.82578397142857
2144;133.65216;0;0.536995285714286;5.47735191428571
2145;0;5.52789264705882;1.07399057142857;9.12891985714286
2146;0;5.52789264705882;1.07399057142857;7.30313588571428
2147;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2148;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2149;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2150;0;27.6394632352941;1.61098585714286;7.30313588571428
2151;0;5.52789264705882;1.07399057142857;5.47735191428571
2152;0;5.52789264705882;1.07399057142857;3.65156794285714
2153;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2154;467.78256;5.52789264705882;2.68497642857143;0
2155;267.30432;16.5836779411765;2.14798114285714;0
2156;133.65216;16.5836779411765;1.07399057142857;0
2157;0;44.2231411764706;0;0
2158;0;38.6952485294118;0;0
2159;0;22.1115705882353;0;0
2160;0;0;0;0
2161;0;0;0;0
2162;0;0;0;0
2163;0;0;0;0
2164;0;0;0;0
2165;0;0;0;0
2166;133.65216;0;0;1.82578397142857
2167;467.78256;0;0;1.82578397142857
2168;133.65216;0;0.536995285714286;5.47735191428571
2169;0;5.52789264705882;1.07399057142857;9.12891985714286
2170;0;5.52789264705882;1.07399057142857;7.30313588571428
2171;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2172;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2173;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2174;0;27.6394632352941;1.61098585714286;7.30313588571428
2175;0;5.52789264705882;1.07399057142857;5.47735191428571
2176;0;5.52789264705882;1.07399057142857;3.65156794285714
2177;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
