Heure; Bilan [kWh]; Stockage [kWh]; Température du stock [°C]; COP chauffage; COP ECS; ECS Gachée
227.000000;0.000000;375152.953587;75.665853;5.000000;5.000000;0.000000;600.000000
228.000000;0.000000;375150.891916;75.665514;5.000000;5.000000;0.000000;600.000000
229.000000;0.000000;375419.239491;75.709624;5.000000;5.000000;0.000000;600.000000
230.000000;0.000000;375957.808866;75.798151;5.000000;5.000000;0.000000;600.000000
231.000000;0.000000;376206.486916;75.839028;5.000000;5.000000;0.000000;600.000000
232.000000;0.000000;376240.592650;75.844634;5.000000;5.000000;0.000000;600.000000
233.000000;0.000000;376039.707985;75.811614;5.000000;5.000000;0.000000;600.000000
234.000000;0.000000;375533.923822;75.728475;5.000000;5.000000;0.000000;600.000000
235.000000;0.000000;375120.391443;75.660501;5.000000;5.000000;0.000000;523.155782
236.000000;0.000000;374836.308766;75.613805;5.000000;5.000000;0.000000;411.590218
237.000000;0.000000;374658.800053;75.584627;5.000000;5.000000;0.000000;481.410845
238.000000;0.000000;374476.482339;75.554658;5.000000;5.000000;0.000000;549.698846
239.000000;0.000000;374344.180517;75.532911;5.000000;5.000000;0.000000;600.000000
240.000000;0.000000;374347.024587;75.533378;5.000000;5.000000;0.000000;600.000000
241.000000;0.000000;374347.833708;75.533511;5.000000;5.000000;0.000000;600.000000
242.000000;0.000000;374346.478619;75.533289;5.000000;5.000000;0.000000;600.000000
243.000000;0.000000;374340.179629;75.532253;5.000000;5.000000;0.000000;600.000000
244.000000;0.000000;374328.938179;75.530405;5.000000;5.000000;0.000000;600.000000
245.000000;0.000000;374316.044411;75.528286;5.000000;5.000000;0.000000;600.000000
246.000000;0.000000;374118.916544;75.495883;5.000000;5.000000;0.000000;600.000000
247.000000;0.000000;373464.581915;75.388327;5.000000;5.000000;0.000000;533.974326
248.000000;-0.000000;373156.902351;75.337752;5.000000;5.000000;0.000000;553.999208
249.000000;0.000000;373097.309422;75.327956;5.000000;5.000000;0.000000;600.000000
250.000000;0.000000;373248.505403;75.352809;5.000000;5.000000;0.000000;600.000000
251.000000;0.000000;373340.995041;75.368012;5.000000;5.000000;0.000000;600.000000
252.000000;0.000000;373394.052018;75.376733;5.000000;5.000000;0.000000;600.000000
253.000000;0.000000;373859.380476;75.453222;5.000000;5.000000;0.000000;600.000000
254.000000;0.000000;374612.869858;75.577077;5.000000;5.000000;0.000000;600.000000
255.000000;0.000000;374959.514045;75.634056;5.000000;5.000000;0.000000;600.000000
256.000000;0.000000;374999.680956;75.640659;5.000000;5.000000;0.000000;600.000000
257.000000;0.000000;374787.856170;75.605840;5.000000;5.000000;0.000000;600.000000
258.000000;0.000000;374271.984383;75.521044;5.000000;5.000000;0.000000;600.000000
259.000000;0.000000;373881.206696;75.456809;5.000000;5.000000;0.000000;498.040384
260.000000;0.000000;373611.998108;75.412558;5.000000;5.000000;0.000000;361.359422
261.000000;0.000000;373441.726263;75.384570;5.000000;5.000000;0.000000;410.423521
262.000000;0.000000;373271.010066;75.356508;5.000000;5.000000;0.000000;457.954996
263.000000;0.000000;373111.395825;75.330272;5.000000;5.000000;0.000000;507.327090
264.000000;0.000000;372964.986395;75.306206;5.000000;5.000000;0.000000;557.518432
265.000000;0.000000;372831.224145;75.284218;5.000000;5.000000;0.000000;600.000000
266.000000;0.000000;372764.716762;75.273286;5.000000;5.000000;0.000000;600.000000
267.000000;0.000000;372689.883140;75.260985;5.000000;5.000000;0.000000;600.000000
268.000000;0.000000;372604.277636;75.246914;5.000000;5.000000;0.000000;600.000000
269.000000;0.000000;372509.270479;75.231297;5.000000;5.000000;0.000000;600.000000
270.000000;0.000000;372225.374054;75.184632;5.000000;5.000000;0.000000;600.000000
271.000000;0.000000;371519.795244;75.068652;5.000000;5.000000;0.000000;512.042570
272.000000;0.000000;371156.459484;75.008929;5.000000;5.000000;0.000000;514.588397
273.000000;0.000000;370979.834047;74.979896;5.000000;5.000000;0.000000;563.021736
274.000000;0.000000;370908.042100;74.968095;5.000000;5.000000;0.000000;600.000000
275.000000;0.000000;370878.056044;74.963166;5.000000;5.000000;0.000000;600.000000
276.000000;0.000000;370851.226508;74.958756;5.000000;5.000000;0.000000;600.000000
277.000000;0.000000;371163.415320;75.010072;5.000000;5.000000;0.000000;583.704310
278.000000;0.000000;371513.040885;75.067542;5.000000;5.000000;0.000000;600.000000
279.000000;0.000000;371655.069895;75.090888;5.000000;5.000000;0.000000;600.000000
280.000000;0.000000;371545.632932;75.072899;5.000000;5.000000;0.000000;600.000000
281.000000;0.000000;371173.979268;75.011808;5.000000;5.000000;0.000000;600.000000
282.000000;0.000000;370487.742111;74.899008;5.000000;5.000000;0.000000;600.000000
283.000000;0.000000;369989.966924;74.817186;5.000000;5.000000;0.000000;476.108628
284.000000;0.000000;369624.291526;74.757078;5.000000;5.000000;0.000000;317.495910
285.000000;0.000000;369363.137547;74.714151;5.000000;5.000000;0.000000;348.434591
286.000000;0.000000;369106.507124;74.671967;5.000000;5.000000;0.000000;377.840647
287.000000;0.000000;368863.556823;74.632032;5.000000;5.000000;0.000000;409.087323
288.000000;0.000000;368642.729873;74.595734;5.000000;5.000000;0.000000;458.986320
289.000000;-0.000000;368421.913632;74.559437;5.000000;5.000000;0.000000;510.034785
290.000000;-0.000000;368201.175598;74.523153;5.000000;5.000000;0.000000;561.083249
291.000000;0.000000;368009.482791;74.491643;5.000000;5.000000;0.000000;600.000000
292.000000;0.000000;367910.972854;74.475451;5.000000;5.000000;0.000000;600.000000
293.000000;0.000000;367815.333721;74.459730;5.000000;5.000000;0.000000;600.000000
294.000000;0.000000;367539.986345;74.414470;5.000000;5.000000;0.000000;600.000000
295.000000;0.000000;366852.531233;74.301469;5.000000;5.000000;0.000000;511.688832
296.000000;0.000000;366508.825792;74.244973;5.000000;5.000000;0.000000;511.547845
297.000000;0.000000;366323.346222;74.214484;5.000000;5.000000;0.000000;542.883384
298.000000;0.000000;366167.059930;74.188795;5.000000;5.000000;0.000000;590.286235
299.000000;0.000000;366073.193681;74.173366;5.000000;5.000000;0.000000;600.000000
300.000000;0.000000;365985.432752;74.158940;5.000000;5.000000;0.000000;600.000000
301.000000;0.000000;366324.562010;74.214684;5.000000;5.000000;0.000000;591.692972
302.000000;0.000000;366884.698698;74.306757;5.000000;5.000000;0.000000;600.000000
303.000000;0.000000;367210.690041;74.360342;5.000000;5.000000;0.000000;600.000000
304.000000;0.000000;367166.045066;74.353003;5.000000;5.000000;0.000000;600.000000
305.000000;0.000000;366871.506226;74.304588;5.000000;5.000000;0.000000;600.000000
306.000000;0.000000;366271.183943;74.205910;5.000000;5.000000;0.000000;599.943521
307.000000;0.000000;365845.032721;74.135862;5.000000;5.000000;0.000000;475.698412
308.000000;0.000000;365546.603813;74.086807;5.000000;5.000000;0.000000;316.731956
309.000000;0.000000;365337.181564;74.052383;5.000000;5.000000;0.000000;347.378291
310.000000;0.000000;365122.461362;74.017089;5.000000;5.000000;0.000000;376.492002
311.000000;0.000000;364918.309751;73.983531;5.000000;5.000000;0.000000;407.446332
312.000000;0.000000;364734.029609;73.953240;5.000000;5.000000;0.000000;475.470747
313.000000;0.000000;364541.482903;73.921590;5.000000;5.000000;0.000000;544.644630
314.000000;0.000000;364376.708550;73.894505;5.000000;5.000000;0.000000;600.000000
315.000000;0.000000;364338.339632;73.888198;5.000000;5.000000;0.000000;600.000000
316.000000;0.000000;364293.413891;73.880814;5.000000;5.000000;0.000000;600.000000
317.000000;0.000000;364243.201978;73.872560;5.000000;5.000000;0.000000;600.000000
318.000000;0.000000;364005.936460;73.833560;5.000000;5.000000;0.000000;600.000000
319.000000;0.000000;363307.204716;73.718705;5.000000;5.000000;0.000000;533.620588
320.000000;0.000000;362957.263190;73.661184;5.000000;5.000000;0.000000;551.844942
321.000000;0.000000;362778.557338;73.631809;5.000000;5.000000;0.000000;591.825900
322.000000;0.000000;362768.499195;73.630156;5.000000;5.000000;0.000000;600.000000
323.000000;0.000000;362693.627463;73.617849;5.000000;5.000000;0.000000;600.000000
324.000000;0.000000;362554.047314;73.594905;5.000000;5.000000;0.000000;600.000000
325.000000;-0.000000;362374.468963;73.565387;5.000000;5.000000;0.000000;530.461428
326.000000;0.000000;362319.585088;73.556365;5.000000;5.000000;0.000000;564.951407
327.000000;0.000000;362264.626186;73.547331;5.000000;5.000000;0.000000;600.000000
328.000000;0.000000;362235.953361;73.542618;5.000000;5.000000;0.000000;600.000000
329.000000;0.000000;361968.529903;73.498660;5.000000;5.000000;0.000000;600.000000
330.000000;0.000000;361396.389082;73.404615;5.000000;5.000000;0.000000;600.000000
331.000000;0.000000;360960.155742;73.332909;5.000000;5.000000;0.000000;497.686646
332.000000;0.000000;360639.396205;73.280184;5.000000;5.000000;0.000000;360.651946
333.000000;0.000000;360418.547910;73.243882;5.000000;5.000000;0.000000;409.423700
334.000000;0.000000;360196.735716;73.207421;5.000000;5.000000;0.000000;456.662829
