Heure;Bilan [kWh];Stockage eau [kWh];Température du stock [°C];COP chauffage;COP ECS;ECS Gachée [kWh];Stock batterie [kWh];Stockage hydrogene [kWh];consElecPac;pertes_horaires
182.000000;0.000000;197651.635540;46.489033;7.300832;7.299268;0.000000;246.131449;6317.563857;9.870331;10.741211
183.000000;0.000000;197710.301306;46.498676;7.303541;7.301185;0.000000;250.000000;6327.748556;8.969266;10.764265
184.000000;0.000000;197636.601633;46.486562;7.300653;7.297343;0.000000;250.000000;6335.260706;11.697887;10.767110
185.000000;0.000000;197368.360475;46.442470;7.296891;7.292453;0.000000;250.000000;6336.241350;42.619276;10.763536
186.000000;0.000000;196862.258941;46.359279;7.283234;7.278383;0.000000;200.407992;6336.241350;80.598423;10.750529
187.000000;0.000000;196515.149879;46.302223;7.257604;7.252536;0.000000;53.257942;6336.241350;55.501905;10.725987
188.000000;0.000000;196280.668292;46.263680;7.240131;7.234907;0.000000;0.000000;6238.081601;37.593897;10.709156
189.000000;0.000000;196133.718777;46.239525;7.228374;7.222930;0.000000;41.516116;6238.081601;23.598912;10.697786
190.000000;0.000000;195972.061518;46.212953;7.221026;7.214621;0.000000;79.361918;6238.081601;25.991150;10.690660
191.000000;0.000000;195817.947242;46.187620;7.212959;7.206233;0.000000;120.094216;6238.081601;24.808616;10.682821
192.000000;0.000000;195678.468330;46.164693;7.205286;7.198355;0.000000;191.125150;6238.081601;22.477436;10.675348
193.000000;0.000000;195533.448714;46.140856;7.198355;7.191163;0.000000;250.000000;6241.406115;23.396468;10.668585
194.000000;0.000000;195381.174994;46.115826;7.191163;7.183627;0.000000;250.000000;6260.142862;24.595333;10.661552
195.000000;0.000000;195223.278013;46.089871;7.183627;7.175829;0.000000;250.000000;6278.654164;25.534687;10.654169
196.000000;0.000000;195059.633137;46.062972;7.175829;7.167765;0.000000;250.000000;6296.934358;26.497636;10.646512
197.000000;0.000000;194891.300829;46.035302;7.167765;7.159489;0.000000;250.000000;6315.023840;27.292268;10.638577
198.000000;0.000000;194601.042882;45.987591;7.159489;7.150968;0.000000;250.000000;6323.467092;47.149911;10.630414
199.000000;0.000000;194018.278739;45.891799;7.145264;7.136521;0.000000;107.004310;6323.467092;94.925041;10.616339
200.000000;0.000000;193732.892048;45.844889;7.116873;7.108858;0.000000;106.661236;6323.467092;46.681396;10.588081
201.000000;0.000000;193645.408725;45.830509;7.105837;7.099478;0.000000;141.026990;6323.467092;23.763723;10.574242
202.000000;0.000000;193574.704635;45.818887;7.100680;7.095990;0.000000;176.256145;6323.467092;17.885430;10.570000
203.000000;0.000000;193414.077812;45.792484;7.097266;7.093858;0.000000;193.968662;6323.467092;32.653752;10.566572
204.000000;0.000000;193222.444739;45.760984;7.093223;7.090788;0.000000;211.873683;6323.467092;50.373263;10.558783
205.000000;0.000000;194023.664227;45.892684;7.126716;7.124782;0.000000;250.000000;6323.919864;32.191833;10.549490
206.000000;0.000000;194794.776798;46.019436;7.157426;7.156295;0.000000;250.000000;6360.355661;8.849998;10.588342
207.000000;0.000000;194967.003747;46.047746;7.165125;7.163720;0.000000;250.000000;6378.086098;6.321919;10.625734
208.000000;0.000000;194923.992281;46.040676;7.164153;7.161529;0.000000;250.000000;6388.910166;10.093069;10.634085
209.000000;0.000000;194669.465153;45.998838;7.161095;7.157467;0.000000;250.000000;6392.719174;41.329269;10.631999
210.000000;0.000000;194172.351344;45.917125;7.148612;7.144319;0.000000;211.737975;6392.719174;80.896278;10.619657
211.000000;0.000000;193823.688592;45.859813;7.124357;7.119362;0.000000;74.625110;6392.719174;56.963279;10.595552
212.000000;0.000000;193586.046087;45.820751;7.107443;7.102238;0.000000;0.000000;6322.950144;38.928469;10.578645
213.000000;0.000000;193437.778097;45.796379;7.095961;7.090645;0.000000;50.305497;6322.950144;24.327773;10.567122
214.000000;0.000000;193292.487187;45.772497;7.088815;7.083425;0.000000;99.508597;6322.950144;23.866770;10.559932
215.000000;0.000000;193147.074690;45.748595;7.081828;7.075758;0.000000;150.492790;6322.950144;23.912460;10.552887
216.000000;0.000000;193012.545614;45.726482;7.074848;7.068403;0.000000;218.744612;6322.950144;22.145259;10.545835
217.000000;0.000000;192874.839602;45.703846;7.068403;7.061817;0.000000;250.000000;6332.988029;22.692300;10.539312
218.000000;0.000000;192733.911893;45.680681;7.061817;7.055091;0.000000;250.000000;6351.227215;23.248426;10.532635
219.000000;0.000000;192588.767698;45.656823;7.055091;7.048176;0.000000;250.000000;6369.293077;23.970606;10.525801
220.000000;0.000000;192442.305382;45.632748;7.048176;7.041213;0.000000;250.000000;6387.300057;24.215947;10.518763
221.000000;0.000000;192291.629974;45.607981;7.041213;7.034063;0.000000;250.000000;6405.132964;24.941252;10.511661
222.000000;0.000000;192023.668732;45.563935;7.034063;7.026877;0.000000;250.000000;6413.407922;44.431057;10.504354
223.000000;0.000000;191468.494479;45.472678;7.021384;7.014188;0.000000;106.142653;6413.407922;92.280452;10.491361
224.000000;0.000000;191207.289250;45.429742;6.995260;6.988632;0.000000;104.878022;6413.407922;43.590718;10.464440
225.000000;0.000000;191124.418577;45.416120;6.984831;6.979796;0.000000;137.964640;6413.407922;20.264904;10.451774
226.000000;0.000000;191072.664311;45.407613;6.981856;6.977308;0.000000;171.738353;6413.407922;18.282508;10.447755
227.000000;0.000000;190964.190613;45.389783;6.980336;6.977664;0.000000;190.930129;6413.407922;30.990051;10.445246
228.000000;0.000000;190772.615085;45.358293;6.977066;6.974680;0.000000;202.724754;6413.407922;51.342511;10.439986
