Heure; Bilan [kWh]; Stockage [kWh]; Température du stock [°C]; COP chauffage; COP ECS; ECS Gachée
258.000000;0.000000;1565732.068387;78.341892;5.000000;5.000000;0.000000
259.000000;0.000000;1565310.729826;78.324578;5.000000;5.000000;0.000000
260.000000;0.000000;1565010.954056;78.312259;5.000000;5.000000;0.000000
261.000000;0.000000;1564810.110965;78.304006;5.000000;5.000000;0.000000
262.000000;0.000000;1564608.821293;78.295734;5.000000;5.000000;0.000000
263.000000;0.000000;1564418.631337;78.287918;5.000000;5.000000;0.000000
264.000000;0.000000;1564241.644156;78.280645;5.000000;5.000000;0.000000
265.000000;0.000000;1564076.753966;78.273869;5.000000;5.000000;0.000000
266.000000;0.000000;1563976.465534;78.269748;5.000000;5.000000;0.000000
267.000000;0.000000;1563867.841691;78.265284;5.000000;5.000000;0.000000
268.000000;0.000000;1563748.435144;78.260377;5.000000;5.000000;0.000000
269.000000;0.000000;1563619.614613;78.255084;5.000000;5.000000;0.000000
270.000000;0.000000;1563303.047095;78.242075;5.000000;5.000000;0.000000
271.000000;0.000000;1562566.881036;78.211823;5.000000;5.000000;0.000000
272.000000;0.000000;1562172.945899;78.195634;5.000000;5.000000;0.000000
273.000000;0.000000;1561951.495282;78.186534;5.000000;5.000000;0.000000
274.000000;0.000000;1561850.678000;78.182391;5.000000;5.000000;0.000000
275.000000;0.000000;1561785.369287;78.179707;5.000000;5.000000;0.000000
276.000000;0.000000;1561699.655817;78.176185;5.000000;5.000000;0.000000
277.000000;0.000000;1561706.318847;78.176459;5.000000;5.000000;0.000000
278.000000;0.000000;1561854.807610;78.182561;5.000000;5.000000;0.000000
279.000000;0.000000;1561883.066021;78.183722;5.000000;5.000000;0.000000
280.000000;0.000000;1561738.469429;78.177780;5.000000;5.000000;0.000000
281.000000;0.000000;1561335.586832;78.161224;5.000000;5.000000;0.000000
282.000000;0.000000;1560618.753935;78.131767;5.000000;5.000000;0.000000
283.000000;0.000000;1560090.387766;78.110054;5.000000;5.000000;0.000000
284.000000;0.000000;1559694.113098;78.093770;5.000000;5.000000;0.000000
285.000000;0.000000;1559402.354005;78.081780;5.000000;5.000000;0.000000
286.000000;0.000000;1559115.114557;78.069977;5.000000;5.000000;0.000000
287.000000;0.000000;1558841.551403;78.058735;5.000000;5.000000;0.000000
288.000000;0.000000;1558590.108027;78.048402;5.000000;5.000000;0.000000
289.000000;-0.000000;1558338.672194;78.038070;5.000000;5.000000;0.000000
290.000000;-0.000000;1558087.311403;78.027740;5.000000;5.000000;0.000000
291.000000;0.000000;1557864.095692;78.018567;5.000000;5.000000;0.000000
292.000000;0.000000;1557731.157167;78.013104;5.000000;5.000000;0.000000
293.000000;0.000000;1557601.076617;78.007759;5.000000;5.000000;0.000000
294.000000;0.000000;1557292.647695;77.995084;5.000000;5.000000;0.000000
295.000000;0.000000;1556574.558439;77.965575;5.000000;5.000000;0.000000
296.000000;0.000000;1556200.207062;77.950192;5.000000;5.000000;0.000000
297.000000;0.000000;1555974.596119;77.940921;5.000000;5.000000;0.000000
298.000000;-0.000000;1555773.436228;77.932654;5.000000;5.000000;0.000000
299.000000;0.000000;1555636.322079;77.927020;5.000000;5.000000;0.000000
300.000000;0.000000;1555482.402198;77.920695;5.000000;5.000000;0.000000
301.000000;0.000000;1555506.476236;77.921684;5.000000;5.000000;0.000000
302.000000;0.000000;1555804.264181;77.933921;5.000000;5.000000;0.000000
303.000000;0.000000;1555964.428271;77.940503;5.000000;5.000000;0.000000
304.000000;0.000000;1555884.558406;77.937221;5.000000;5.000000;0.000000
305.000000;0.000000;1555558.670048;77.923829;5.000000;5.000000;0.000000
306.000000;0.000000;1554927.733224;77.897901;5.000000;5.000000;0.000000
307.000000;0.000000;1554470.957277;77.879130;5.000000;5.000000;0.000000
308.000000;0.000000;1554141.896684;77.865608;5.000000;5.000000;0.000000
309.000000;0.000000;1553901.838149;77.855743;5.000000;5.000000;0.000000
310.000000;0.000000;1553656.478708;77.845660;5.000000;5.000000;0.000000
311.000000;0.000000;1553421.684805;77.836012;5.000000;5.000000;0.000000
312.000000;0.000000;1553206.759516;77.827180;5.000000;5.000000;0.000000
313.000000;0.000000;1552983.565175;77.818008;5.000000;5.000000;0.000000
314.000000;0.000000;1552786.995463;77.809930;5.000000;5.000000;0.000000
315.000000;0.000000;1552712.210507;77.806857;5.000000;5.000000;0.000000
316.000000;0.000000;1552630.862466;77.803514;5.000000;5.000000;0.000000
317.000000;0.000000;1552544.220842;77.799953;5.000000;5.000000;0.000000
318.000000;0.000000;1552272.043964;77.788769;5.000000;5.000000;0.000000
319.000000;0.000000;1551542.657318;77.758795;5.000000;5.000000;0.000000
320.000000;0.000000;1551162.048891;77.743155;5.000000;5.000000;0.000000
321.000000;0.000000;1550943.190585;77.734161;5.000000;5.000000;0.000000
322.000000;0.000000;1550884.696927;77.731757;5.000000;5.000000;0.000000
323.000000;0.000000;1550754.817007;77.726420;5.000000;5.000000;0.000000
324.000000;0.000000;1550555.151198;77.718215;5.000000;5.000000;0.000000
325.000000;0.000000;1550311.719046;77.708211;5.000000;5.000000;0.000000
326.000000;0.000000;1550202.459967;77.703722;5.000000;5.000000;0.000000
327.000000;0.000000;1550112.851248;77.700039;5.000000;5.000000;0.000000
328.000000;0.000000;1550046.793457;77.697325;5.000000;5.000000;0.000000
329.000000;0.000000;1549746.211470;77.684973;5.000000;5.000000;0.000000
330.000000;0.000000;1549141.751718;77.660133;5.000000;5.000000;0.000000
331.000000;0.000000;1548674.830842;77.640945;5.000000;5.000000;0.000000
332.000000;0.000000;1548323.376623;77.626503;5.000000;5.000000;0.000000
333.000000;0.000000;1548071.828635;77.616166;5.000000;5.000000;0.000000
334.000000;0.000000;1547819.313586;77.605789;5.000000;5.000000;0.000000
335.000000;0.000000;1547577.413789;77.595848;5.000000;5.000000;0.000000
336.000000;0.000000;1547352.228320;77.586595;5.000000;5.000000;0.000000
337.000000;0.000000;1547251.617338;77.582460;5.000000;5.000000;0.000000
338.000000;0.000000;1547191.015249;77.579970;5.000000;5.000000;0.000000
339.000000;0.000000;1547125.806609;77.577290;5.000000;5.000000;0.000000
340.000000;0.000000;1547055.303391;77.574393;5.000000;5.000000;0.000000
341.000000;0.000000;1546978.844631;77.571251;5.000000;5.000000;0.000000
342.000000;0.000000;1546717.440235;77.560509;5.000000;5.000000;0.000000
343.000000;0.000000;1545981.771719;77.530277;5.000000;5.000000;0.000000
344.000000;0.000000;1545595.238610;77.514393;5.000000;5.000000;0.000000
345.000000;0.000000;1545501.092547;77.510525;5.000000;5.000000;0.000000
346.000000;0.000000;1545584.057834;77.513934;5.000000;5.000000;0.000000
347.000000;0.000000;1545594.097159;77.514346;5.000000;5.000000;0.000000
348.000000;0.000000;1545531.760812;77.511785;5.000000;5.000000;0.000000
349.000000;0.000000;1545546.315845;77.512383;5.000000;5.000000;0.000000
350.000000;0.000000;1545883.123970;77.526224;5.000000;5.000000;0.000000
351.000000;0.000000;1546084.398972;77.534495;5.000000;5.000000;0.000000
352.000000;0.000000;1546037.420430;77.532564;5.000000;5.000000;0.000000
353.000000;0.000000;1545722.376735;77.519618;5.000000;5.000000;0.000000
354.000000;0.000000;1545086.992759;77.493508;5.000000;5.000000;0.000000
355.000000;0.000000;1544576.237519;77.472519;5.000000;5.000000;0.000000
356.000000;0.000000;1544199.832252;77.457051;5.000000;5.000000;0.000000
357.000000;0.000000;1543928.819464;77.445914;5.000000;5.000000;0.000000
358.000000;0.000000;1543663.275198;77.435002;5.000000;5.000000;0.000000
359.000000;0.000000;1543414.322577;77.424771;5.000000;5.000000;0.000000
360.000000;0.000000;1543237.196807;77.417492;5.000000;5.000000;0.000000
361.000000;0.000000;1543197.629505;77.415866;5.000000;5.000000;0.000000
362.000000;0.000000;1543160.162909;77.414327;5.000000;5.000000;0.000000
363.000000;0.000000;1543124.468338;77.412860;5.000000;5.000000;0.000000
364.000000;0.000000;1543091.292569;77.411497;5.000000;5.000000;0.000000
365.000000;0.000000;1543058.457504;77.410147;5.000000;5.000000;0.000000
366.000000;0.000000;1542847.524954;77.401479;5.000000;5.000000;0.000000
367.000000;0.000000;1542159.983030;77.373226;5.000000;5.000000;0.000000
368.000000;0.000000;1541815.161068;77.359056;5.000000;5.000000;0.000000
369.000000;0.000000;1541790.314648;77.358035;5.000000;5.000000;0.000000
370.000000;0.000000;1541934.188682;77.363947;5.000000;5.000000;0.000000
