heure,prodPV,prodHydro,prodSolTh,consChal,consECS,consFroid,consElec
4762,57.97,130.0,754.8,0.0,13.90501910420167,-0.0,78.27106451
4763,67.235,130.0,856.8,0.0,149.43350380840332,-0.0,83.26567339
4764,71.655,130.0,897.6,0.0,298.38055306386553,-0.0,77.93226975
4765,68.935,130.0,856.8,0.0,183.13785497647058,3.78,206.4590438
4766,60.945,130.0,775.2,0.0,36.55358497815124,7.938,96.53418264
4767,45.56,130.0,612.0,0.0,12.0792351327731,7.938,82.00125797
4768,27.2,130.0,428.4,0.0,10.25345116134453,7.182,77.00664909
4769,12.835,130.0,224.4,0.0,209.97989776134452,6.237,72.79986579
4770,5.355,130.0,40.800000000000004,0.0,475.9954290756302,11.502,83.5395442
4771,2.5500000000000003,130.0,20.400000000000002,0.0,286.03597908403367,10.746,196.4382996
4772,0.0,130.0,0.0,0.0,151.30982851260507,9.099,228.0031602
4773,0.0,130.0,0.0,0.0,44.2231411764706,-0.0,49.77723103
4774,0.0,130.0,0.0,0.0,38.6952485294118,-0.0,51.46311826
4775,0.0,130.0,0.0,0.0,22.1115705882353,-0.0,49.43843627
4776,0.0,130.0,0.0,0.0,0.0,-0.0,28.59930404
4777,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4778,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4779,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4780,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4781,0.85,130.0,20.400000000000002,0.0,0.0,-0.0,27.33488862
4782,6.035,130.0,61.199999999999996,0.0,135.47794397142857,-0.0,47.669872
4783,11.39,130.0,183.6,0.0,469.60834397142855,-0.0,163.7710804
4784,22.95,130.0,387.6,0.0,139.6665072,-0.0,84.32736978
4785,42.754999999999995,130.0,591.5999999999999,0.0,15.73080307563025,-0.0,74.8521068
4786,56.78,130.0,734.4,0.0,13.90501910420167,-0.0,78.27106451
4787,65.11,130.0,816.0,0.0,149.43350380840332,-0.0,83.26567339
4788,71.655,130.0,897.6,0.0,298.38055306386553,-0.0,77.93226975
4789,65.535,130.0,816.0,0.0,183.13785497647058,5.103,206.4590438
4790,57.544999999999995,130.0,734.4,0.0,36.55358497815124,7.182,96.53418264
4791,44.794999999999995,130.0,612.0,0.0,12.0792351327731,6.804,82.00125797
4792,28.305000000000003,130.0,448.8,0.0,10.25345116134453,6.237,77.00664909
4793,12.665000000000001,130.0,224.4,0.0,209.97989776134452,6.048,72.79986579
4794,5.61,130.0,40.800000000000004,0.0,475.9954290756302,10.044,83.5395442
4795,2.5500000000000003,130.0,20.400000000000002,0.0,286.03597908403367,12.663,196.4382996
4796,0.0,130.0,0.0,0.0,151.30982851260507,-0.0,228.0031602
4797,0.0,130.0,0.0,0.0,44.2231411764706,-0.0,49.77723103
4798,0.0,130.0,0.0,0.0,38.6952485294118,-0.0,51.46311826
4799,0.0,130.0,0.0,0.0,22.1115705882353,-0.0,49.43843627
4800,0.0,130.0,0.0,0.0,0.0,-0.0,28.59930404
4801,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4802,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4803,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4804,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4805,0.595,130.0,0.0,0.0,0.0,-0.0,27.33488862
4806,5.61,130.0,61.199999999999996,0.0,135.47794397142857,-0.0,47.669872
4807,10.88,130.0,142.8,0.0,469.60834397142855,-0.0,163.7710804
4808,20.06,130.0,306.0,0.0,139.6665072,-0.0,84.32736978
4809,36.21,130.0,489.59999999999997,0.0,15.73080307563025,-0.0,74.8521068
4810,43.86,130.0,550.8000000000001,0.0,13.90501910420167,-0.0,78.27106451
4811,51.765,130.0,652.8000000000001,0.0,149.43350380840332,-0.0,83.26567339
4812,59.075,130.0,734.4,0.0,298.38055306386553,-0.0,77.93226975
4813,67.91499999999999,130.0,836.4,0.0,183.13785497647058,-0.0,206.4590438
4814,55.25,130.0,693.6,0.0,36.55358497815124,-0.0,96.53418264
4815,45.39,130.0,612.0,0.0,12.0792351327731,-0.0,82.00125797
4816,27.625,130.0,428.4,0.0,10.25345116134453,1.323,77.00664909
4817,13.685,130.0,244.79999999999998,0.0,209.97989776134452,5.103,72.79986579
4818,6.035,130.0,61.199999999999996,0.0,475.9954290756302,-0.0,83.5395442
4819,2.38,130.0,20.400000000000002,0.0,286.03597908403367,-0.0,196.4382996
4820,0.0,130.0,0.0,0.0,151.30982851260507,-0.0,228.0031602
4821,0.0,130.0,0.0,0.0,44.2231411764706,-0.0,49.77723103
4822,0.0,130.0,0.0,0.0,38.6952485294118,-0.0,51.46311826
4823,0.0,130.0,0.0,0.0,22.1115705882353,-0.0,49.43843627
4824,0.0,130.0,0.0,0.0,0.0,-0.0,28.59930404
4825,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4826,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4827,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4828,0.0,130.0,0.0,0.0,0.0,-0.0,27.33488862
4829,0.85,130.0,20.400000000000002,0.0,0.0,-0.0,27.33488862
4830,5.95,130.0,61.199999999999996,0.0,135.47794397142857,-0.0,47.669872
4831,11.305,130.0,163.20000000000002,0.0,469.60834397142855,-0.0,163.7710804
4832,22.865000000000002,130.0,367.2,0.0,139.6665072,-0.0,84.32736978
4833,40.63,130.0,550.8000000000001,0.0,15.73080307563025,-0.0,74.8521068
4834,55.504999999999995,130.0,714.0,0.0,13.90501910420167,-0.0,78.27106451
4835,66.3,130.0,836.4,0.0,149.43350380840332,-0.0,83.26567339
4836,69.105,130.0,856.8,0.0,298.38055306386553,4.725,77.93226975
4837,68.255,130.0,856.8,0.0,183.13785497647058,10.017,206.4590438
4838,57.63,130.0,734.4,0.0,36.55358497815124,10.017,96.53418264
4839,43.945,130.0,591.5999999999999,0.0,12.0792351327731,24.7455,82.00125797
4840,29.154999999999998,130.0,448.8,0.0,10.25345116134453,29.4165,77.00664909
4841,12.665000000000001,130.0,224.4,0.0,209.97989776134452,26.1225,72.79986579
4842,5.61,130.0,40.800000000000004,0.0,475.9954290756302,22.761,83.5395442
